year,amo_mean_north
1856,0.21145454545454545
1857,0.03808333333333334
1858,-0.011833333333333342
1859,0.03591666666666666
1860,0.09408333333333335
1861,0.19783333333333333
1862,-0.1446666666666667
1863,-0.12158333333333333
1864,0.050166666666666665
1865,0.17891666666666664
1866,0.211
1867,0.18150000000000002
1868,0.15133333333333335
1869,0.12441666666666666
1870,0.013416666666666665
1871,0.04416666666666667
1872,0.11624999999999998
1873,0.04299999999999999
1874,0.02541666666666667
1875,0.02741666666666666
1876,-0.017000000000000005
1877,0.2226666666666667
1878,0.4489166666666667
1879,0.1635
1880,0.08800000000000001
1881,0.051333333333333335
1882,-0.027499999999999997
1883,-0.03525
1884,-0.04841666666666667
1885,-0.030416666666666665
1886,0.13341666666666666
1887,0.10975
1888,0.20891666666666664
1889,0.2063333333333334
1890,-0.11491666666666665
1891,0.016500000000000004
1892,-0.07141666666666667
1893,-0.0034999999999999996
1894,-0.2344166666666667
1895,-0.10625
1896,0.10083333333333334
1897,0.11808333333333336
1898,0.07541666666666669
1899,0.10458333333333335
1900,0.11241666666666666
1901,0.10674999999999997
1902,-0.09850000000000002
1903,-0.17441666666666666
1904,-0.35791666666666666
1905,-0.19416666666666668
1906,-0.074
1907,-0.22925000000000004
1908,-0.13533333333333333
1909,-0.12758333333333333
1910,-0.24683333333333338
1911,-0.21941666666666668
1912,-0.22291666666666665
1913,-0.3804166666666667
1914,-0.29875
1915,0.07283333333333332
1916,-0.05883333333333333
1917,-0.2760833333333333
1918,-0.26466666666666666
1919,-0.18241666666666667
1920,-0.3360000000000001
1921,-0.23758333333333334
1922,-0.30541666666666667
1923,-0.3483333333333334
1924,-0.13625
1925,-0.18999999999999997
1926,0.07916666666666668
1927,0.11633333333333334
1928,-0.003416666666666665
1929,-0.10691666666666666
1930,-0.019999999999999997
1931,0.17233333333333334
1932,0.23083333333333333
1933,0.1965
1934,-0.011333333333333322
1935,0.00425
1936,0.14966666666666667
1937,0.26275
1938,0.24650000000000002
1939,0.12758333333333333
1940,-0.03158333333333334
1941,0.12816666666666668
1942,0.19533333333333336
1943,0.013666666666666666
1944,0.33675000000000005
1945,0.22233333333333336
1946,0.024083333333333335
1947,-0.10075
1948,-0.000416666666666667
1949,0.07641666666666667
1950,-0.01741666666666666
1951,0.18416666666666667
1952,0.26875
1953,0.2585
1954,0.055833333333333325
1955,0.15366666666666665
1956,-0.013083333333333336
1957,0.021416666666666667
1958,0.1879166666666667
1959,0.04733333333333333
1960,0.21808333333333332
1961,0.07825
1962,0.05849999999999999
1963,0.009500000000000007
1964,-0.10675000000000001
1965,-0.17591666666666664
1966,-0.029583333333333333
1967,-0.09574999999999999
1968,-0.18675
1969,-0.0165
1970,-0.10658333333333335
1971,-0.32283333333333336
1972,-0.36966666666666675
1973,-0.2454166666666667
1974,-0.43075
1975,-0.323
1976,-0.3760833333333333
1977,-0.22975000000000004
1978,-0.20366666666666666
1979,-0.14291666666666666
1980,-0.024833333333333336
1981,-0.11966666666666666
1982,-0.2038333333333334
1983,-0.12474999999999999
1984,-0.20416666666666664
1985,-0.2881666666666666
1986,-0.29458333333333336
1987,0.009250000000000013
1988,-0.010499999999999997
1989,-0.10675
1990,-0.07125000000000002
1991,-0.14050000000000004
1992,-0.2366666666666667
1993,-0.23341666666666663
1994,-0.2171666666666667
1995,0.10024999999999999
1996,-0.06533333333333334
1997,0.0039166666666666655
1998,0.33583333333333326
1999,0.11566666666666665
2000,0.015583333333333333
2001,0.06616666666666667
2002,0.05775
2003,0.18825000000000003
2004,0.18458333333333335
2005,0.26458333333333334
2006,0.24575
2007,0.12766666666666668
2008,0.12116666666666666
2009,0.00883333333333333
2010,0.3144166666666667
2011,0.09825
2012,0.17325000000000002
2013,0.15041666666666664
2014,0.07525
2015,0.075
2016,0.3089166666666667
2017,0.2885
2018,0.07925
2019,0.13075
2020,0.2771666666666666
2021,0.12166666666666666
