year,amo_mean_south
1856,0.20500000000000002
1857,0.1415
1858,-0.03458333333333334
1859,0.050583333333333334
1860,0.0425
1861,0.11241666666666668
1862,0.12050000000000001
1863,-0.1441666666666667
1864,-0.15283333333333335
1865,0.19066666666666668
1866,0.18425
1867,0.2728333333333333
1868,0.10475000000000002
1869,0.14425
1870,0.025833333333333323
1871,0.07825
1872,0.017083333333333332
1873,0.12133333333333331
1874,0.029416666666666664
1875,0.020499999999999994
1876,-0.0073333333333333375
1877,0.09808333333333334
1878,0.35800000000000004
1879,0.37125
1880,0.04983333333333334
1881,0.13991666666666663
1882,-0.06074999999999999
1883,0.0005000000000000013
1884,-0.026833333333333338
1885,-0.07966666666666668
1886,0.09566666666666666
1887,0.037
1888,0.22483333333333336
1889,0.24116666666666672
1890,0.05608333333333334
1891,-0.11499999999999999
1892,0.05191666666666667
1893,-0.1415833333333333
1894,-0.056083333333333346
1895,-0.22508333333333333
1896,0.007583333333333335
1897,0.16641666666666668
1898,0.059750000000000004
1899,0.06491666666666666
1900,0.16916666666666666
1901,0.09841666666666665
1902,0.0032499999999999955
1903,-0.08808333333333333
1904,-0.33075
1905,-0.27025000000000005
1906,-0.14874999999999997
1907,-0.13433333333333333
1908,-0.22491666666666665
1909,-0.08224999999999999
1910,-0.2176666666666667
1911,-0.24825000000000008
1912,-0.1739166666666667
1913,-0.2813333333333333
1914,-0.38525000000000004
1915,-0.1525
1916,0.05983333333333334
1917,-0.18325
1918,-0.21433333333333335
1919,-0.2524166666666667
1920,-0.28824999999999995
1921,-0.29483333333333334
1922,-0.23233333333333336
1923,-0.35766666666666663
1924,-0.2021666666666667
1925,-0.2124166666666667
1926,-0.033
1927,0.08533333333333333
1928,0.042333333333333334
1929,-0.016083333333333335
1930,-0.14075
1931,0.12541666666666665
1932,0.2010833333333333
1933,0.20933333333333334
1934,0.05908333333333333
1935,0.043750000000000004
1936,0.08683333333333333
1937,0.11175000000000002
1938,0.3349166666666667
1939,0.1835
1940,0.04533333333333333
1941,0.011333333333333332
1942,0.22291666666666668
1943,0.08633333333333333
1944,0.17375
1945,0.34475000000000006
1946,0.1325
1947,-0.10625
1948,-0.048999999999999995
1949,0.04516666666666666
1950,0.02725
1951,0.03616666666666668
1952,0.2330833333333333
1953,0.30666666666666664
1954,0.18758333333333335
1955,0.025833333333333333
1956,0.16841666666666666
1957,-0.09141666666666669
1958,0.15375000000000003
1959,0.12133333333333335
1960,0.09549999999999999
1961,0.2061666666666667
1962,0.07316666666666666
1963,0.04808333333333333
1964,-0.06116666666666667
1965,-0.15591666666666668
1966,-0.12474999999999999
1967,-0.01575
1968,-0.18741666666666665
1969,-0.07316666666666667
1970,-0.04808333333333334
1971,-0.24825
1972,-0.35966666666666675
1973,-0.3409166666666667
1974,-0.2725
1975,-0.4134166666666667
1976,-0.3680833333333334
1977,-0.30675
1978,-0.17058333333333334
1979,-0.21141666666666667
1980,-0.06258333333333332
1981,-0.07625
1982,-0.10508333333333332
1983,-0.20983333333333332
1984,-0.12100000000000001
1985,-0.32499999999999996
1986,-0.26375
1987,-0.21150000000000002
1988,0.08083333333333333
1989,-0.11958333333333332
1990,-0.08508333333333334
1991,-0.04950000000000001
1992,-0.16550000000000004
1993,-0.26158333333333333
1994,-0.25808333333333333
1995,-0.07125000000000001
1996,0.07633333333333334
1997,-0.07508333333333334
1998,0.15208333333333332
1999,0.2625
2000,0.07166666666666666
2001,-0.02033333333333333
2002,0.147
2003,0.03291666666666666
2004,0.2324166666666667
2005,0.216
2006,0.23849999999999996
2007,0.2436666666666667
2008,0.10166666666666667
2009,0.021083333333333332
2010,0.17783333333333332
2011,0.25491666666666674
2012,0.04858333333333334
2013,0.22458333333333327
2014,0.06499999999999999
2015,0.08633333333333333
2016,0.19433333333333333
2017,0.32775
2018,0.2253333333333333
2019,0.04125
2020,0.23766666666666666
2021,0.209
