year,dmi
1870,-0.434875
1871,-0.193125
1872,-0.100375
1873,-0.43175
1874,-0.511625
1875,-0.316375
1876,-0.204875
1877,0.12025000000000001
1878,-0.28425
1879,-0.460875
1880,-0.365375
1881,-0.115625
1882,-0.247125
1883,-0.16975
1884,-0.1415
1885,-0.16812499999999997
1886,-0.5880000000000001
1887,-0.15375
1888,-0.356875
1889,-0.6096250000000001
1890,-0.701875
1891,-0.01475
1892,-0.5697500000000001
1893,-0.483125
1894,-0.08549999999999999
1895,-0.149625
1896,0.08525
1897,-0.42175000000000007
1898,-0.580625
1899,-0.39675
1900,-0.24325
1901,-0.634
1902,0.081375
1903,-0.45025
1904,-0.28674999999999995
1905,-0.215
1906,-0.7267500000000001
1907,-0.35825
1908,-0.28275
1909,-0.6507500000000002
1910,-0.62975
1911,-0.418
1912,-0.401625
1913,-0.142
1914,-0.0006249999999999728
1915,-0.24112500000000003
1916,-0.556875
1917,-0.552125
1918,0.05437499999999999
1919,-0.2035
1920,-0.267375
1921,-0.331875
1922,-0.304625
1923,0.10074999999999998
1924,-0.30574999999999997
1925,0.143625
1926,-0.093375
1927,-0.335125
1928,-0.44812500000000005
1929,-0.198625
1930,-0.209625
1931,-0.39924999999999994
1932,-0.265625
1933,-0.564625
1934,-0.10312500000000001
1935,0.07899999999999999
1936,-0.16212500000000002
1937,-0.10500000000000001
1938,-0.328
1939,-0.17737499999999998
1940,-0.22037500000000002
1941,-0.133
1942,-0.6462499999999999
1943,-0.12537500000000001
1944,0.058
1945,-0.40125
1946,0.0385
1947,-0.3465000000000001
1948,-0.215125
1949,-0.022250000000000006
1950,-0.24800000000000003
1951,0.03924999999999999
1952,-0.18925000000000003
1953,-0.019125
1954,-0.46712500000000007
1955,-0.391
1956,-0.5665
1957,-0.290375
1958,-0.7995
1959,-0.5702499999999999
1960,-0.602375
1961,0.4335
1962,-0.19375
1963,0.21824999999999997
1964,-0.49874999999999997
1965,-0.197625
1966,-0.0445
1967,0.17362499999999997
1968,-0.26025
1969,-0.15312499999999998
1970,-0.25537499999999996
1971,-0.18662499999999996
1972,0.6018749999999999
1973,-0.214125
1974,-0.321125
1975,-0.22637500000000002
1976,0.16674999999999998
1977,-0.020999999999999998
1978,-0.207375
1979,-0.12025
1980,-0.4215
1981,-0.28687500000000005
1982,0.380875
1983,0.155125
1984,-0.32775
1985,-0.24174999999999996
1986,-0.15325
1987,0.298375
1988,-0.16362500000000002
1989,-0.303
1990,-0.16412500000000002
1991,0.25275
1992,-0.49650000000000005
1993,-0.051375000000000004
1994,0.623875
1995,-0.06662499999999999
1996,-0.51925
1997,0.7292500000000001
1998,-0.255625
1999,0.019875000000000004
2000,0.045750000000000006
2001,-0.035625
2002,0.063
2003,0.099875
2004,-0.114625
2005,-0.202375
2006,0.3175
2007,0.18675000000000003
2008,0.19474999999999998
2009,0.11237500000000002
2010,-0.09775
2011,0.269875
2012,0.30275
2013,-0.08174999999999999
2014,0.007250000000000001
2015,0.448125
2016,-0.299875
2017,0.39212499999999995
2018,0.426375
2019,0.7463750000000001
2020,0.210625
