year,dmi_mean_north
1870,-0.318
1871,-0.18125
1872,-0.06308333333333334
1873,-0.32283333333333336
1874,-0.44949999999999996
1875,-0.2704166666666667
1876,-0.26866666666666666
1877,0.061416666666666675
1878,-0.17408333333333334
1879,-0.4225833333333333
1880,-0.3259166666666667
1881,-0.16125
1882,-0.2701666666666667
1883,-0.20708333333333337
1884,-0.12891666666666665
1885,-0.16474999999999998
1886,-0.5270833333333333
1887,-0.21358333333333332
1888,-0.40958333333333324
1889,-0.5815
1890,-0.4744166666666667
1891,-0.1865
1892,-0.39625000000000005
1893,-0.4655
1894,-0.11616666666666665
1895,-0.10683333333333334
1896,-0.10783333333333334
1897,-0.26408333333333334
1898,-0.5250833333333333
1899,-0.29991666666666666
1900,-0.27341666666666664
1901,-0.6120833333333334
1902,-0.047416666666666656
1903,-0.429
1904,-0.2060833333333333
1905,-0.28308333333333335
1906,-0.6742499999999999
1907,-0.30383333333333334
1908,-0.2800833333333333
1909,-0.6206666666666667
1910,-0.5235000000000001
1911,-0.44366666666666665
1912,-0.28391666666666665
1913,-0.15358333333333335
1914,-0.022666666666666665
1915,-0.35775
1916,-0.3205833333333333
1917,-0.3425833333333333
1918,-0.0009166666666666582
1919,-0.1386666666666667
1920,-0.13075
1921,-0.2559166666666667
1922,-0.2569166666666667
1923,-0.009500000000000003
1924,-0.3074166666666667
1925,0.11558333333333333
1926,-0.06733333333333334
1927,-0.2636666666666667
1928,-0.3830833333333333
1929,-0.22691666666666668
1930,-0.23075
1931,-0.30324999999999996
1932,-0.34600000000000003
1933,-0.3185
1934,-0.1646666666666667
1935,0.05225
1936,-0.10158333333333334
1937,-0.14191666666666666
1938,-0.21141666666666667
1939,-0.14125
1940,-0.19541666666666668
1941,-0.19958333333333333
1942,-0.46875000000000006
1943,-0.17691666666666664
1944,-0.008833333333333332
1945,-0.21325000000000002
1946,-0.014916666666666661
1947,-0.24000000000000002
1948,-0.14083333333333334
1949,0.01799999999999999
1950,-0.3109166666666667
1951,0.07441666666666666
1952,-0.08541666666666665
1953,0.08158333333333333
1954,-0.35525000000000007
1955,-0.23225000000000004
1956,-0.39866666666666667
1957,-0.28341666666666665
1958,-0.5865
1959,-0.4969166666666666
1960,-0.4726666666666666
1961,0.15641666666666668
1962,0.045500000000000033
1963,0.24316666666666667
1964,-0.43624999999999997
1965,-0.20025
1966,-0.10499999999999998
1967,0.09133333333333332
1968,-0.06
1969,-0.11249999999999999
1970,-0.05525
1971,-0.08025
1972,0.41358333333333336
1973,-0.09291666666666665
1974,-0.10083333333333334
1975,-0.22283333333333333
1976,0.13999999999999999
1977,0.006916666666666666
1978,-0.2554166666666666
1979,-0.0735
1980,-0.2950833333333333
1981,-0.21191666666666667
1982,0.33275
1983,-0.07308333333333335
1984,-0.214
1985,-0.27575
1986,-0.14858333333333332
1987,0.16233333333333333
1988,-0.10283333333333335
1989,-0.24208333333333334
1990,-0.17316666666666666
1991,0.20691666666666667
1992,-0.43216666666666664
1993,-0.06991666666666667
1994,0.4395833333333334
1995,-0.000749999999999996
1996,-0.3196666666666666
1997,0.4119999999999999
1998,0.03433333333333332
1999,0.018666666666666665
2000,0.07774999999999997
2001,-0.04025
2002,0.028916666666666663
2003,0.03441666666666667
2004,-0.010083333333333333
2005,-0.18016666666666667
2006,0.14233333333333334
2007,0.23358333333333334
2008,0.141
2009,0.11883333333333335
2010,0.08791666666666668
2011,0.27925
2012,0.17241666666666666
2013,-0.024666666666666646
2014,0.006083333333333327
2015,0.24891666666666665
2016,-0.10025
2017,0.32574999999999993
2018,0.2785833333333333
2019,0.637
2020,0.20433333333333328
2021,0.2265
