year,dmi_mean_south
1870,-0.145
1871,-0.29975
1872,-0.11791666666666667
1873,-0.13975
1874,-0.4393333333333333
1875,-0.34758333333333336
1876,-0.3575
1877,-0.1355
1878,0.07099999999999998
1879,-0.32925000000000004
1880,-0.337
1881,-0.34016666666666673
1882,-0.171
1883,-0.26
1884,-0.11883333333333335
1885,-0.18175
1886,-0.28225
1887,-0.46825
1888,-0.3049166666666666
1889,-0.42283333333333334
1890,-0.4000000000000001
1891,-0.5893333333333334
1892,-0.07008333333333332
1893,-0.5320000000000001
1894,-0.3460833333333333
1895,-0.06933333333333334
1896,-0.2303333333333334
1897,0.006500000000000006
1898,-0.4223333333333333
1899,-0.41150000000000003
1900,-0.37225
1901,-0.38833333333333336
1902,-0.4471666666666667
1903,-0.108
1904,-0.33125
1905,-0.3194166666666667
1906,-0.3339166666666667
1907,-0.529
1908,-0.35408333333333325
1909,-0.3958333333333333
1910,-0.5181666666666668
1911,-0.5650833333333334
1912,-0.29275
1913,-0.3159166666666666
1914,-0.14875000000000002
1915,-0.17283333333333337
1916,-0.1029166666666667
1917,-0.39924999999999994
1918,-0.3456666666666666
1919,-0.00366666666666667
1920,-0.030833333333333334
1921,-0.2384166666666667
1922,-0.29641666666666666
1923,-0.26591666666666663
1924,-0.058499999999999976
1925,-0.13533333333333333
1926,0.06475
1927,-0.11316666666666668
1928,-0.30825
1929,-0.37199999999999994
1930,-0.23783333333333334
1931,-0.2194166666666667
1932,-0.3801666666666666
1933,-0.15291666666666667
1934,-0.4343333333333333
1935,-0.03216666666666667
1936,0.0095
1937,-0.14533333333333331
1938,-0.09858333333333334
1939,-0.23475
1940,-0.19450000000000003
1941,-0.2309166666666667
1942,-0.18533333333333332
1943,-0.4755833333333333
1944,-0.04475000000000001
1945,-0.0205
1946,-0.22916666666666666
1947,-0.000749999999999996
1948,-0.26425000000000004
1949,-0.09641666666666666
1950,-0.15325
1951,-0.10675000000000003
1952,0.06958333333333333
1953,-0.0004166666666666757
1954,-0.12333333333333334
1955,-0.31575000000000003
1956,-0.25875
1957,-0.45541666666666664
1958,-0.2936666666666667
1959,-0.6466666666666667
1960,-0.47474999999999995
1961,-0.42966666666666664
1962,0.43625
1963,-0.02541666666666667
1964,0.015083333333333332
1965,-0.41158333333333336
1966,-0.19291666666666665
1967,-0.008500000000000006
1968,0.2105
1969,-0.17675
1970,0.029416666666666657
1971,-0.10991666666666666
1972,-0.07091666666666668
1973,0.4091666666666667
1974,-0.09041666666666669
1975,-0.24466666666666667
1976,-0.11141666666666668
1977,0.09991666666666665
1978,-0.16708333333333333
1979,-0.11099999999999999
1980,-0.09450000000000001
1981,-0.25908333333333333
1982,-0.10433333333333333
1983,0.059166666666666645
1984,0.07258333333333332
1985,-0.33783333333333326
1986,-0.18991666666666665
1987,-0.07666666666666666
1988,0.149
1989,-0.18283333333333332
1990,-0.23108333333333334
1991,-0.003666666666666678
1992,-0.04341666666666664
1993,-0.31383333333333335
1994,0.07599999999999998
1995,0.3789166666666666
1996,-0.06108333333333333
1997,-0.28975
1998,0.6005833333333334
1999,-0.17650000000000002
2000,0.07708333333333332
2001,0.03250000000000001
2002,-0.08458333333333333
2003,0.05241666666666667
2004,0.07275
2005,-0.09133333333333334
2006,-0.17950000000000002
2007,0.3273333333333333
2008,0.1425
2009,0.1980833333333334
2010,0.1731666666666667
2011,0.03608333333333335
2012,0.16016666666666668
2013,0.20975000000000002
2014,-0.02658333333333333
2015,0.0014166666666666553
2016,0.3204166666666666
2017,-0.04641666666666668
2018,0.23791666666666664
2019,0.45283333333333325
2020,0.52375
2021,0.2113
