year,dmi_mean_tropic
1870,-0.08124999999999999
1871,-0.33016666666666666
1872,-0.11508333333333336
1873,-0.11791666666666668
1874,-0.43683333333333324
1875,-0.3730833333333334
1876,-0.32941666666666664
1877,-0.11775000000000001
1878,0.04350000000000001
1879,-0.3160833333333333
1880,-0.3680833333333333
1881,-0.34016666666666673
1882,-0.17700000000000002
1883,-0.24983333333333327
1884,-0.15541666666666665
1885,-0.14433333333333334
1886,-0.26175
1887,-0.48108333333333336
1888,-0.28724999999999995
1889,-0.4095
1890,-0.42724999999999996
1891,-0.5903333333333333
1892,-0.07333333333333333
1893,-0.5122500000000001
1894,-0.3718333333333333
1895,-0.07408333333333333
1896,-0.22533333333333339
1897,0.0037500000000000033
1898,-0.3965
1899,-0.4450833333333333
1900,-0.3665
1901,-0.35558333333333336
1902,-0.4897500000000001
1903,-0.08925
1904,-0.33191666666666664
1905,-0.3239166666666667
1906,-0.3155833333333334
1907,-0.5387500000000001
1908,-0.36058333333333326
1909,-0.34816666666666674
1910,-0.5407500000000001
1911,-0.5730000000000001
1912,-0.3239166666666667
1913,-0.30549999999999994
1914,-0.15550000000000003
1915,-0.14033333333333334
1916,-0.13116666666666668
1917,-0.37833333333333335
1918,-0.3445833333333333
1919,-0.005416666666666667
1920,-0.08658333333333333
1921,-0.21250000000000002
1922,-0.26858333333333334
1923,-0.27125
1924,-0.049916666666666665
1925,-0.1663333333333333
1926,0.06825
1927,-0.09883333333333333
1928,-0.30733333333333335
1929,-0.36424999999999996
1930,-0.2308333333333333
1931,-0.23500000000000007
1932,-0.3701666666666667
1933,-0.15575
1934,-0.4463333333333333
1935,-0.05408333333333334
1936,0.030833333333333334
1937,-0.16491666666666668
1938,-0.09641666666666666
1939,-0.20533333333333334
1940,-0.18425000000000002
1941,-0.24675
1942,-0.15791666666666665
1943,-0.5098333333333334
1944,-0.084
1945,0.050749999999999997
1946,-0.30158333333333337
1947,0.015333333333333332
1948,-0.24850000000000005
1949,-0.09591666666666666
1950,-0.13508333333333333
1951,-0.12091666666666669
1952,0.07041666666666667
1953,-0.03916666666666667
1954,-0.05108333333333334
1955,-0.3036666666666667
1956,-0.2691666666666666
1957,-0.47574999999999995
1958,-0.2795
1959,-0.6262500000000001
1960,-0.4749999999999999
1961,-0.45475
1962,0.43183333333333335
1963,-0.0305
1964,0.03141666666666668
1965,-0.4099166666666667
1966,-0.20266666666666666
1967,-0.029916666666666675
1968,0.207
1969,-0.17325000000000002
1970,0.00041666666666665894
1971,-0.08858333333333333
1972,-0.09016666666666667
1973,0.41524999999999995
1974,-0.0635
1975,-0.27008333333333334
1976,-0.10558333333333332
1977,0.128
1978,-0.15108333333333338
1979,-0.11841666666666667
1980,-0.126
1981,-0.26308333333333334
1982,-0.12433333333333334
1983,0.08258333333333333
1984,0.09308333333333334
1985,-0.3446666666666666
1986,-0.19566666666666666
1987,-0.10316666666666667
1988,0.20550000000000002
1989,-0.17608333333333334
1990,-0.2515833333333333
1991,-0.06433333333333334
1992,0.03400000000000002
1993,-0.35741666666666666
1994,0.028416666666666656
1995,0.44525
1996,-0.05991666666666667
1997,-0.31399999999999995
1998,0.5910833333333334
1999,-0.14941666666666667
2000,0.05225
2001,0.03041666666666668
2002,-0.045750000000000006
2003,0.03866666666666666
2004,0.10616666666666665
2005,-0.13558333333333333
2006,-0.165
2007,0.28758333333333336
2008,0.15008333333333335
2009,0.19158333333333336
2010,0.19699999999999998
2011,0.04108333333333334
2012,0.1835
2013,0.22108333333333338
2014,-0.06108333333333332
2015,-0.026250000000000006
2016,0.34991666666666665
2017,-0.10058333333333334
2018,0.27241666666666664
2019,0.4180833333333333
2020,0.5438333333333334
2021,0.22645454545454546
