year,dmi_variance_south
1870,0.0842495
1871,0.03992675
1872,0.024400992424242426
1873,0.020644750000000003
1874,0.027973878787878784
1875,0.10971299242424241
1876,0.03662609090909091
1877,0.0743459090909091
1878,0.17175490909090907
1879,0.01551147727272727
1880,0.05423927272727273
1881,0.026646878787878782
1882,0.0654449090909091
1883,0.04123709090909092
1884,0.044018878787878794
1885,0.02466420454545454
1886,0.039360931818181816
1887,0.06431765909090909
1888,0.06391535606060605
1889,0.028094515151515155
1890,0.10351090909090908
1891,0.07468824242424241
1892,0.019756810606060604
1893,0.05865945454545454
1894,0.04368644696969698
1895,0.015463333333333334
1896,0.032953878787878796
1897,0.03644336363636363
1898,0.07274624242424244
1899,0.08277772727272727
1900,0.04231111363636364
1901,0.05600751515151514
1902,0.09748051515151514
1903,0.09380127272727273
1904,0.06481438636363636
1905,0.02981899242424242
1906,0.04661517424242426
1907,0.2079063636363636
1908,0.04916826515151515
1909,0.05065706060606061
1910,0.07950869696969698
1911,0.0753268106060606
1912,0.06670875
1913,0.07284335606060609
1914,0.027462568181818182
1915,0.15822942424242425
1916,0.05012699242424243
1917,0.1444169318181818
1918,0.14463987878787876
1919,0.04365333333333334
1920,0.04543578787878788
1921,0.047381901515151516
1922,0.05447190151515151
1923,0.0207877196969697
1924,0.12530554545454545
1925,0.0843798787878788
1926,0.044716204545454545
1927,0.0429530606060606
1928,0.024426386363636365
1929,0.056618909090909095
1930,0.017830696969696965
1931,0.06112917424242423
1932,0.06298269696969698
1933,0.0528059015151515
1934,0.1580207878787879
1935,0.031060515151515148
1936,0.029278090909090906
1937,0.04726387878787879
1938,0.025249174242424247
1939,0.07299220454545453
1940,0.030931
1941,0.020527174242424243
1942,0.050157878787878786
1943,0.08639226515151514
1944,0.09008365909090911
1945,0.06919336363636365
1946,0.08456924242424241
1947,0.02620784090909091
1948,0.09917129545454545
1949,0.07012862878787879
1950,0.062064931818181825
1951,0.09709838636363637
1952,0.017540265151515154
1953,0.10600881060606061
1954,0.02028860606060606
1955,0.10357547727272727
1956,0.05404911363636364
1957,0.07525371969696971
1958,0.008336787878787878
1959,0.12692333333333336
1960,0.06269711363636364
1961,0.0676660606060606
1962,0.11194693181818181
1963,0.07805681060606061
1964,0.1658322651515152
1965,0.08256681060606061
1966,0.02649062878787879
1967,0.03698263636363636
1968,0.01323809090909091
1969,0.06170293181818182
1970,0.08361662878787879
1971,0.09234353787878785
1972,0.10168244696969696
1973,0.1083250606060606
1974,0.10748262878787879
1975,0.07335678787878787
1976,0.13128735606060607
1977,0.07710444696969697
1978,0.07914644696969698
1979,0.04225418181818181
1980,0.018015909090909093
1981,0.09742626515151516
1982,0.1173049696969697
1983,0.23055087878787883
1984,0.08446353787878788
1985,0.0206699696969697
1986,0.036818265151515144
1987,0.03578278787878788
1988,0.08492618181818183
1989,0.041224696969696974
1990,0.028893356060606067
1991,0.06529060606060605
1992,0.12063862878787876
1993,0.0835119696969697
1994,0.060799454545454545
1995,0.1311399015151515
1996,0.01735862878787879
1997,0.14619184090909088
1998,0.17249935606060604
1999,0.08213609090909091
2000,0.013793719696969697
2001,0.03532281818181818
2002,0.02546008333333333
2003,0.053544446969696964
2004,0.04485584090909091
2005,0.037764787878787884
2006,0.01633681818181818
2007,0.042063696969696966
2008,0.02410209090909091
2009,0.013223537878787881
2010,0.03855251515151515
2011,0.06352299242424242
2012,0.06884815151515151
2013,0.1198696590909091
2014,0.03148717424242425
2015,0.04241317424242424
2016,0.0527917196969697
2017,0.1691037196969697
2018,0.054623174242424244
2019,0.044283787878787874
2020,0.13779311363636362
2021,0.04435601111111111
