year,nao_mean_north
1950,-0.039090909090909086
1951,-0.20333333333333334
1952,-0.2791666666666667
1953,-0.014166666666666642
1954,-0.09416666666666666
1955,-0.3558333333333334
1956,-0.03833333333333336
1957,-0.19749999999999998
1958,-0.5208333333333334
1959,0.2575
1960,-0.37833333333333324
1961,0.17166666666666663
1962,-0.35500000000000015
1963,-0.36666666666666653
1964,-0.18916666666666657
1965,-0.25666666666666665
1966,-0.27416666666666667
1967,0.46416666666666667
1968,-0.8608333333333332
1969,-0.15166666666666664
1970,-0.17666666666666672
1971,-0.13999999999999999
1972,0.5441666666666666
1973,-0.09750000000000003
1974,0.0825
1975,0.05083333333333334
1976,0.32083333333333336
1977,-0.3858333333333334
1978,0.365
1979,-0.07916666666666666
1980,-0.3941666666666666
1981,-0.14583333333333337
1982,0.28
1983,0.43416666666666676
1984,0.27166666666666667
1985,-0.20166666666666666
1986,0.4391666666666667
1987,-0.06666666666666667
1988,-0.03750000000000001
1989,0.8483333333333333
1990,0.48
1991,0.24833333333333332
1992,0.58
1993,0.08833333333333332
1994,0.5375000000000001
1995,0.22666666666666666
1996,-0.23583333333333334
1997,-0.19416666666666668
1998,-0.6333333333333333
1999,0.3291666666666667
2000,0.3891666666666666
2001,-0.1616666666666667
2002,0.04833333333333336
2003,-0.03416666666666667
2004,0.19499999999999995
2005,-0.13000000000000003
2006,-0.3558333333333333
2007,0.25666666666666665
2008,-0.32666666666666666
2009,-0.10583333333333333
2010,-1.1591666666666667
2011,-0.07083333333333336
2012,-0.25999999999999995
2013,0.14500000000000002
2014,0.11083333333333334
2015,0.4016666666666668
2016,0.10833333333333324
2017,0.19249999999999992
2018,1.1058333333333334
2019,-0.3675
2020,0.41583333333333333
2021,-0.535
