year,nino34
1950,-1.19375
1951,0.29
1952,-0.49874999999999997
1953,0.25125
1954,-1.2362499999999998
1955,-1.6474999999999997
1956,-0.9912499999999999
1957,0.825
1958,0.0175
1959,-0.5712499999999999
1960,-0.3625
1961,-0.5662499999999999
1962,-0.7512500000000001
1963,0.47625
1964,-1.255
1965,0.9587500000000001
1966,-0.34625
1967,-0.5587500000000001
1968,0.1325
1969,0.26125
1970,-0.9975
1971,-1.125
1972,1.19125
1973,-1.6987500000000002
1974,-0.94375
1975,-1.5775
1976,0.13624999999999998
1977,0.26125
1978,-0.5499999999999999
1979,0.01124999999999999
1980,-0.0925
1981,-0.41250000000000003
1982,1.21
1983,-0.36750000000000005
1984,-0.73875
1985,-0.65125
1986,0.355
1987,1.1625
1988,-1.6037500000000002
1989,-0.48125
1990,0.14875
1991,0.7987500000000001
1992,0.1375
1993,0.2575
1994,0.62375
1995,-0.6074999999999999
1996,-0.42750000000000005
1997,1.7962500000000001
1998,-0.9949999999999999
1999,-1.29625
2000,-0.7174999999999999
2001,-0.2175
2002,0.9775
2003,0.1275
2004,0.5475
2005,-0.19375
2006,0.4574999999999999
2007,-0.96875
2008,-0.48375
2009,0.7725000000000001
2010,-1.2375
2011,-0.76
2012,0.12125
2013,-0.285
2014,0.33125
2015,1.9300000000000002
2016,-0.42125
2017,-0.2675
2018,0.40125
2019,0.3675
2020,-0.77
2021,-0.49
