year,pdo
1854,-0.7645000000000001
1855,0.017000000000000008
1856,-0.059750000000000004
1857,0.8382499999999999
1858,0.3763749999999999
1859,-0.50075
1860,-0.34299999999999997
1861,-0.204
1862,0.44575
1863,0.9423750000000001
1864,0.678875
1865,0.5813750000000001
1866,0.47774999999999995
1867,0.344875
1868,0.179375
1869,0.12587500000000001
1870,-0.129
1871,-0.068125
1872,-0.4951249999999999
1873,-0.230375
1874,-0.18112499999999998
1875,-0.37300000000000005
1876,-1.0975000000000001
1877,0.316125
1878,0.5172500000000001
1879,-0.06499999999999999
1880,-0.83675
1881,0.333625
1882,-0.5983749999999999
1883,-0.6755
1884,1.028625
1885,1.36225
1886,-0.23912499999999998
1887,-0.902875
1888,0.470875
1889,0.23425
1890,0.09475
1891,0.488875
1892,-0.9981249999999999
1893,-1.179875
1894,-1.66625
1895,-0.078875
1896,0.6543749999999999
1897,0.26649999999999996
1898,-0.25312500000000004
1899,-0.095125
1900,0.601625
1901,-0.22737500000000005
1902,0.9969999999999999
1903,0.558875
1904,0.41124999999999995
1905,1.2599999999999998
1906,0.866375
1907,1.084
1908,0.191
1909,-0.98875
1910,-0.3425
1911,-0.300125
1912,0.203625
1913,0.479875
1914,-0.11875
1915,0.5000000000000001
1916,-1.2671249999999998
1917,-0.75525
1918,0.5101249999999999
1919,-0.240625
1920,-0.8897499999999999
1921,-0.7632499999999999
1922,-0.32975000000000004
1923,0.17875000000000002
1924,-0.72825
1925,0.190375
1926,1.647
1927,-0.242
1928,-0.04912499999999997
1929,0.5566249999999999
1930,0.13587500000000002
1931,0.86025
1932,-0.3875
1933,-1.439
1934,0.95475
1935,0.817625
1936,1.8805
1937,0.30300000000000005
1938,0.017999999999999988
1939,-0.22525
1940,1.9264999999999999
1941,2.29275
1942,0.11399999999999999
1943,-0.8098750000000001
1944,-0.907
1945,-0.268
1946,-0.26837500000000003
1947,0.8360000000000001
1948,-0.6421250000000001
1949,-0.746375
1950,-1.5364999999999998
1951,-0.47562499999999996
1952,-0.8361249999999999
1953,-0.224375
1954,0.30687500000000006
1955,-1.88275
1956,-1.061625
1957,1.068
1958,1.057
1959,0.524
1960,0.18612499999999998
1961,-0.88525
1962,-1.0325
1963,-0.384625
1964,-0.6382499999999999
1965,0.28712499999999996
1966,-0.119
1967,-0.5421250000000001
1968,0.270875
1969,0.311125
1970,-0.666625
1971,-0.926875
1972,-0.44287499999999996
1973,-0.866375
1974,0.26925000000000004
1975,-1.0435
1976,0.56275
1977,0.14325
1978,0.10662499999999998
1979,0.784375
1980,0.49849999999999994
1981,0.8832499999999999
1982,0.23075000000000004
1983,1.38875
1984,0.6371249999999999
1985,0.421375
1986,1.167875
1987,1.37325
1988,0.055
1989,0.003999999999999998
1990,-0.43925000000000003
1991,-0.3253750000000001
1992,1.22725
1993,1.57675
1994,-0.65125
1995,0.72775
1996,0.642
1997,1.567625
1998,-0.7315
1999,-1.684625
2000,-0.771625
2001,-1.2527499999999998
2002,-0.07324999999999995
2003,0.01212500000000001
2004,-0.281
2005,-0.37324999999999997
2006,-0.25425
2007,-0.53475
2008,-1.387375
2009,-0.35875
2010,-1.2270000000000003
2011,-1.8238750000000001
2012,-1.394125
2013,-0.9478749999999999
2014,0.735
2015,0.6441250000000001
2016,0.214375
2017,-0.18062499999999998
2018,-0.36300000000000004
2019,0.08524999999999998
