year,pdo_mean_north
1854,-0.3724545454545454
1855,0.015249999999999993
1856,0.23274999999999998
1857,0.41300000000000003
1858,0.25966666666666666
1859,-0.447
1860,-0.4208333333333334
1861,-0.27991666666666665
1862,0.3665
1863,0.8214166666666666
1864,0.6876666666666665
1865,0.59275
1866,0.47108333333333335
1867,0.3348333333333333
1868,0.21608333333333332
1869,0.04883333333333333
1870,-0.15483333333333335
1871,-0.09483333333333333
1872,-0.26858333333333334
1873,-0.46508333333333335
1874,-0.145
1875,-0.28550000000000003
1876,-0.8930833333333332
1877,0.08341666666666668
1878,0.7340833333333334
1879,0.12441666666666668
1880,-0.7005833333333334
1881,0.5248333333333334
1882,-1.0667500000000003
1883,-0.5378333333333334
1884,0.1755833333333334
1885,1.5456666666666665
1886,0.06341666666666664
1887,-0.465
1888,0.19799999999999995
1889,0.29974999999999996
1890,0.05758333333333334
1891,0.44908333333333333
1892,-0.6033333333333334
1893,-0.8676666666666665
1894,-1.5534166666666664
1895,-0.19208333333333336
1896,0.5645833333333333
1897,0.35908333333333325
1898,-0.12516666666666665
1899,-0.3166666666666667
1900,0.93575
1901,-0.0578333333333333
1902,0.85075
1903,0.27058333333333334
1904,0.45725
1905,1.3219166666666664
1906,0.8507500000000001
1907,0.4216666666666667
1908,0.5047499999999999
1909,-0.3515
1910,-0.5347500000000001
1911,-0.37625
1912,-0.03533333333333331
1913,0.1725
1914,0.06508333333333334
1915,0.48600000000000004
1916,-0.9859166666666668
1917,-1.1544166666666669
1918,0.12024999999999998
1919,-0.08499999999999998
1920,-0.77175
1921,-0.9483333333333336
1922,-0.44991666666666674
1923,0.07108333333333332
1924,-0.6921666666666667
1925,-0.2814166666666666
1926,1.4489999999999998
1927,0.21358333333333332
1928,0.01200000000000001
1929,0.3388333333333333
1930,0.22425000000000003
1931,0.9290833333333333
1932,-0.5571666666666667
1933,-1.2753333333333334
1934,0.5834166666666666
1935,0.5533333333333333
1936,1.6854166666666668
1937,0.16833333333333336
1938,0.007250000000000004
1939,-0.2818333333333333
1940,1.7625833333333336
1941,2.4382499999999996
1942,0.8581666666666669
1943,-0.9230833333333334
1944,-0.43358333333333327
1945,-0.08025
1946,-0.14833333333333334
1947,0.5798333333333333
1948,-0.15183333333333335
1949,-1.2159166666666668
1950,-1.4690833333333335
1951,-0.6110833333333333
1952,-1.1080833333333333
1953,-0.3705
1954,-0.06716666666666671
1955,-1.37525
1956,-1.37925
1957,0.36850000000000005
1958,0.9389166666666666
1959,0.56675
1960,0.37424999999999997
1961,-0.16241666666666665
1962,-1.1154166666666665
1963,-0.2584166666666667
1964,-0.40674999999999994
1965,0.10666666666666665
1966,-0.15491666666666667
1967,-0.4509166666666667
1968,0.0595
1969,-0.1138333333333333
1970,0.027416666666666607
1971,-0.9557500000000001
1972,-0.8919999999999999
1973,-0.7155833333333333
1974,-0.16058333333333333
1975,-0.8148333333333334
1976,-0.08491666666666668
1977,0.46875000000000006
1978,0.4735
1979,0.40583333333333343
1980,0.5709166666666666
1981,1.0320000000000003
1982,0.22258333333333333
1983,1.2254999999999998
1984,0.9664166666666668
1985,0.44049999999999995
1986,1.1920833333333334
1987,1.5324999999999998
1988,0.3066666666666666
1989,-0.2370833333333333
1990,-0.254
1991,-0.6545833333333332
1992,0.9110833333333334
1993,1.2265
1994,0.041416666666666734
1995,0.3606666666666667
1996,0.7937500000000001
1997,1.24375
1998,-0.031249999999999983
1999,-1.3713333333333335
2000,-1.00675
2001,-0.84875
2002,-0.50775
2003,0.4496666666666667
2004,-0.21641666666666662
2005,-0.21758333333333335
2006,-0.09891666666666667
2007,-0.45008333333333334
2008,-1.3054166666666667
2009,-0.8482500000000001
2010,-0.66
2011,-1.5576666666666668
2012,-1.3655
2013,-1.0401666666666667
2014,0.29758333333333337
2015,0.9969166666666666
2016,0.5716666666666665
2017,-0.029416666666666674
2018,-0.38316666666666666
2019,-0.027916666666666683
2020,-0.7846666666666667
