year,pdo_variance_north
1854,0.5113952727272728
1855,0.2692363863636364
1856,0.18835947727272725
1857,0.4466658181818181
1858,0.062450242424242436
1859,0.07866981818181819
1860,0.04697051515151516
1861,0.038111174242424245
1862,0.07891990909090908
1863,0.10092390151515152
1864,0.004589696969696969
1865,0.00741165909090909
1866,0.01008117424242424
1867,0.007242696969696972
1868,0.009841174242424243
1869,0.054433969696969696
1870,0.026174333333333334
1871,0.009463606060606061
1872,0.1019069924242424
1873,0.23979171969696986
1874,0.04009018181818182
1875,0.09101881818181817
1876,0.29326553787878784
1877,0.11157699242424242
1878,0.6362748106060606
1879,0.31865681060606055
1880,0.5363749924242424
1881,0.33920306060606065
1882,0.3495785681818181
1883,0.25910160606060606
1884,1.1301093560606061
1885,0.06815515151515149
1886,0.22909444696969697
1887,0.5551301818181819
1888,0.4545976363636363
1889,0.1945774772727273
1890,0.042828810606060606
1891,0.03979826515151516
1892,0.4350673333333333
1893,0.20909369696969693
1894,0.16007262878787892
1895,0.06903735606060607
1896,0.41665953787878784
1897,0.1644935378787879
1898,0.1104483333333333
1899,0.16908824242424242
1900,0.3847358409090909
1901,0.5274894242424243
1902,0.35939347727272725
1903,0.3649306287878788
1904,0.5387571136363637
1905,0.2245808106060606
1906,0.5384203863636364
1907,0.7160180606060605
1908,0.5276934772727272
1909,1.215042818181818
1910,0.3002478409090909
1911,0.18414147727272728
1912,0.2258282424242424
1913,0.3703953636363636
1914,0.21990462878787875
1915,0.7119498181818181
1916,0.2955813560606061
1917,0.2897368106060607
1918,0.7370392954545455
1919,0.253798
1920,0.11351820454545457
1921,0.104227696969697
1922,0.12744208333333332
1923,0.13732208333333334
1924,0.15400487878787877
1925,0.39167408333333326
1926,0.2072525454545454
1927,0.3356226287878788
1928,0.46140636363636367
1929,0.0985250606060606
1930,0.11412475000000004
1931,0.4838435378787879
1932,0.22131033333333336
1933,0.42050078787878786
1934,0.5930409924242425
1935,0.20506024242424245
1936,0.2956375378787879
1937,0.3724373333333333
1938,0.23625784090909094
1939,0.24546506060606063
1940,0.11833935606060603
1941,0.29159129545454565
1942,0.6060150606060606
1943,0.5483631742424241
1944,0.6459060833333333
1945,0.12417784090909091
1946,0.6175186060606062
1947,0.2762719696969696
1948,0.33518760606060605
1949,0.45510008333333335
1950,0.2803255378787879
1951,0.29134517424242423
1952,0.32427190151515145
1953,0.12187572727272727
1954,0.3603317878787879
1955,0.7685578409090909
1956,0.405545659090909
1957,1.2191399090909092
1958,0.08762226515151515
1959,0.3117798409090909
1960,0.19986656818181817
1961,0.6782797196969698
1962,0.18273571969696975
1963,0.31269935606060606
1964,0.3011540227272727
1965,0.3454931515151515
1966,0.07799753787878788
1967,0.18144426515151515
1968,0.19565772727272723
1969,0.505882696969697
1970,0.808878265151515
1971,0.39686347727272736
1972,0.8035914545454544
1973,0.12627353787878787
1974,0.4237717196969697
1975,0.27587887878787876
1976,0.9569611742424242
1977,0.34113947727272725
1978,0.4320419090909091
1979,0.39083833333333334
1980,0.2734608106060606
1981,0.21283872727272726
1982,0.26369026515151517
1983,0.3548029999999999
1984,0.2559991742424243
1985,0.2076300909090909
1986,0.2484520833333333
1987,0.157515
1988,0.14784424242424243
1989,0.19822662878787878
1990,0.2185078181818182
1991,0.8117255378787878
1992,0.2891240833333333
1993,0.40193881818181826
1994,0.6954251742424243
1995,0.8265106060606059
1996,0.27480547727272725
1997,0.40947565909090894
1998,0.9212362045454547
1999,0.23423733333333346
2000,0.20078293181818185
2001,0.4239276590909091
2002,0.4254218409090909
2003,0.36123169696969704
2004,0.15644062878787876
2005,0.6533859015151514
2006,0.19129535606060608
2007,0.2785853560606061
2008,0.06950626515151516
2009,0.49609820454545434
2010,0.5862452727272728
2011,0.25521260606060614
2012,0.28928990909090907
2013,0.1049619696969697
2014,0.4730388106060607
2015,0.21498190151515145
2016,0.6723698787878788
2017,0.08945190151515153
2018,0.07614960606060607
2019,0.09829026515151514
2020,0.7586963333333333
